No.,Player,Position,Team
1.0,Bertels,OH,BEL
2.0,Van Sas,S,BEL
3.0,Herbots,OH,BEL
4.0,Lemmens,MB,BEL
5.0,Radovic,OH,BEL
6.0,Gilson,OH,BEL
7.0,Koulberg,MB,BEL
8.0,Nagels,S,BEL
9.0,Demeyer,OH,BEL
10.0,Martin,O,BEL
11.0,Waelkens,MB,BEL
12.0,Krenicky,S,BEL
13.0,Janssens,MB,BEL
15.0,Humblet,MB,BEL
16.0,Debouck,L,BEL
17.0,Cos,OH,BEL
18.0,Rampelberg,L,BEL
19.0,Van Avermaet,MB,BEL
20.0,Fransen,MB,BEL
21.0,Stragier,OH,BEL
22.0,Verhelst,O,BEL
23.0,Wouters,MB,BEL
24.0,Strumilo,OH,BEL
25.0,Van Elsen,OH,BEL
27.0,Engels,S,BEL
28.0,Vlahovic,O,BEL
29.0,Luyten,OH,BEL
30.0,Debout,L,BEL
31.0,Hauben,MB,BEL
32.0,Maes,MB,BEL
1.0,Lanna,MB,BRA
2.0,Diana,MB,BRA
3.0,Macris,S,BRA
4.0,Lorena,MB,BRA
5.0,Aline,OH,BRA
6.0,Karol,OH,BRA
7.0,Rosamaria,O,BRA
8.0,Julia,MB,BRA
9.0,Roberta,S,BRA
10.0,Gabi,OH,BRA
11.0,Luzia,MB,BRA
12.0,Ana Cristina,OH,BRA
13.0,Paulina,L,BRA
14.0,Kika,L,BRA
15.0,Helena,OH,BRA
16.0,Kisy,O,BRA
17.0,Bergmann,OH,BRA
18.0,Jheovana,O,BRA
19.0,Tainara,O,BRA
20.0,Giovana,S,BRA
21.0,Ariane,O,BRA
22.0,Lais,L,BRA
23.0,Sabrina,O,BRA
24.0,Kenya,S,BRA
25.0,Marina,S,BRA
26.0,Vivian,S,BRA
27.0,Valquiria,MB,BRA
28.0,Mayhara,MB,BRA
29.0,Lyara,S,BRA
30.0,Marcelle,L,BRA
1.0,Stanchulova,OH,BUL
2.0,Dimitrova N.,MB,BUL
3.0,Slavcheva,S,BUL
4.0,Krivoshiyska,MB,BUL
5.0,Yordanova,OH,BUL
6.0,Guncheva,S,BUL
7.0,Kitipova,S,BUL
8.0,Georgieva,OH,BUL
10.0,Paskova,OH,BUL
11.0,Vuchkova,MB,BUL
13.0,Pashkuleva,L,BUL
14.0,B. Saykova,MB,BUL
15.0,Todorova,L,BUL
16.0,Atanasijević,OH,BUL
17.0,Marinova,O,BUL
18.0,Naneva,MB,BUL
19.0,Milanova A.,OH,BUL
20.0,Dudova,O,BUL
21.0,Karabasheva,L,BUL
23.0,Stoyanova,O,BUL
25.0,Ivanova,OH,BUL
27.0,A. Saykova,MB,BUL
28.0,Nikolova M.,O,BUL
29.0,Guncheva,S,BUL
30.0,Todorova M.,MB,BUL
31.0,Racheva,OH,BUL
32.0,Veneva,OH,BUL
33.0,Nikolova,MB,BUL
34.0,Ivanova,S,BUL
35.0,Ninova,L,BUL
1.0,Georgiadis,L,CAN
2.0,Watson,OH,CAN
3.0,Van Ryk,O,CAN
4.0,Savard,OH,CAN
5.0,Murmann,L,CAN
6.0,White,MB,CAN
7.0,Van Buskirk,MB,CAN
11.0,Mitrovic,OH,CAN
12.0,Chase,MB,CAN
13.0,Brie,S,CAN
14.0,Johnson,OH,CAN
15.0,Joseph,O,CAN
16.0,Guezen,OH,CAN
17.0,Jost,L,CAN
18.0,Smrek,O,CAN
19.0,Maglio,MB,CAN
20.0,Borowski,O,CAN
21.0,de Boer,OH,CAN
22.0,Allard,S,CAN
